List of functions with unknown behavior (and their header files)

    ControlsTab::#constructor;    D:\Klocwork_Training\notepad-plus-plus-master\notepad-plus-plus-master\PowerEditor\src\WinControls\TabBar\ControlsTab.h
<SYSTEM>    CoTaskMemFree;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\combaseapi.h
<SYSTEM>    CoTaskMemRealloc;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\combaseapi.h
<SYSTEM>    CoUninitialize;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\combaseapi.h
<SYSTEM>    CoUnmarshalInterface;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\combaseapi.h
<SYSTEM>    CreateCaret;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    CreateStreamOnHGlobal;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\combaseapi.h
<SYSTEM>    CryptMsgClose;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wincrypt.h
<SYSTEM>    CryptMsgGetParam;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wincrypt.h
<SYSTEM>    CryptQueryObject;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wincrypt.h
<SYSTEM>    DPA_Search;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\CommCtrl.h
<SYSTEM>    DPtoLP;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    DecodePointer;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\utilapiset.h
<SYSTEM>    DeferWindowPos;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    DeleteMenu;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    DestroyAcceleratorTable;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    DestroyCaret;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    DialogBoxIndirectParamW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    DialogBoxParamW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    DragFinish;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\shellapi.h
<SYSTEM>    DragQueryFileW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\shellapi.h
<SYSTEM>    DragQueryPoint;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\shellapi.h
<SYSTEM>    DrawEdge;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    DrawFocusRect;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    DrawFrameControl;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    DrawIcon;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    DrawIconEx;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    DrawMenuBar;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    DrawTextExW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    DrawTextW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    EmptyClipboard;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    EnableMenuItem;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    EncodePointer;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\utilapiset.h
<SYSTEM>    EndDeferWindowPos;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    EndDialog;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    EndDoc;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    EndPage;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    EndPaint;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    EnumFontFamiliesExW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    FlashWindowEx;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    FrameRect;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    FreeSid;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\securitybaseapi.h
<SYSTEM>    GetACP;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinNls.h
<SYSTEM>    GetActiveWindow;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetClassNameA;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetClassNameW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetCurrentProcessId;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\processthreadsapi.h
<SYSTEM>    GetCurrentThreadId;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\processthreadsapi.h
<SYSTEM>    GetDlgCtrlID;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetDlgItemInt;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetDlgItemTextA;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetDlgItemTextW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetFileAttributesExW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\fileapi.h
<SYSTEM>    GetKeyState;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetKeyboardState;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetLastError;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\errhandlingapi.h
<SYSTEM>    GetLocalTime;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\sysinfoapi.h
<SYSTEM>    GetLongPathNameW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\fileapi.h
<SYSTEM>    GetMenuItemCount;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetMenuItemID;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetMenuItemInfoW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetMenuState;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetMenuStringW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetMessageA;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetMessageW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetMonitorInfoW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetObjectW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    GetOpenFileNameW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\commdlg.h
<SYSTEM>    GetPixel;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    GetROP2;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    GetSaveFileNameW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\commdlg.h
<SYSTEM>    GetScrollPos;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetScrollRange;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetSysColor;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetSysColorBrush;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetSystemInfo;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\sysinfoapi.h
<SYSTEM>    GetSystemMetrics;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetTextExtentPoint32W;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    GetTextExtentPointW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    GetTextMetricsW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    GetTimeFormatW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\datetimeapi.h
<SYSTEM>    GetVersionExW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\sysinfoapi.h
<SYSTEM>    GetWindowLongPtrW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetWindowLongW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetWindowPlacement;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetWindowRect;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetWindowTextLengthW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GetWindowTextW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    GlobalSize;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinBase.h
<SYSTEM>    GlobalUnlock;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinBase.h
<SYSTEM>    HeapCreate;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\heapapi.h
<SYSTEM>    HeapDestroy;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\heapapi.h
<SYSTEM>    HeapSize;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\heapapi.h
<SYSTEM>    HideCaret;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    ImageList_AddMasked;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\CommCtrl.h
<SYSTEM>    ImageList_BeginDrag;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\CommCtrl.h
<SYSTEM>    ImageList_Destroy;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\CommCtrl.h
<SYSTEM>    ImageList_DragEnter;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\CommCtrl.h
<SYSTEM>    ImageList_DragMove;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\CommCtrl.h
<SYSTEM>    ImageList_DragShowNolock;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\CommCtrl.h
<SYSTEM>    ImageList_Draw;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\CommCtrl.h
<SYSTEM>    ImageList_EndDrag;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\CommCtrl.h
<SYSTEM>    ImageList_GetImageCount;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\CommCtrl.h
<SYSTEM>    ImageList_GetImageInfo;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\CommCtrl.h
<SYSTEM>    ImageList_ReplaceIcon;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\CommCtrl.h
<SYSTEM>    ImageList_SetIconSize;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\CommCtrl.h
<SYSTEM>    InflateRect;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    InitCommonControls;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\CommCtrl.h
<SYSTEM>    InitCommonControlsEx;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\CommCtrl.h
<SYSTEM>    InitializeCriticalSectionAndSpinCount;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\synchapi.h
<SYSTEM>    InsertMenuItemW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    InsertMenuW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    InvalidateRect;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    IsCharAlphaNumericW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    IsCharAlphaW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    IsCharLowerW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    IsChild;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    IsClipboardFormatAvailable;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    IsDestinationReachableW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\SensAPI.h
<SYSTEM>    IsDialogMessageW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    IsIconic;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    IsNetworkAlive;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\SensAPI.h
<SYSTEM>    IsTextUnicode;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinBase.h
<SYSTEM>    IsWindow;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    IsWindowUnicode;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    IsWindowVisible;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    IsZoomed;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    LCMapStringW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinNls.h
<SYSTEM>    LineTo;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    LoadLibraryExW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\libloaderapi.h
<SYSTEM>    LoadStringW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\libloaderapi.h
<SYSTEM>    LoadTypeLib;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\OleAuto.h
<SYSTEM>    LocalSize;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinBase.h
<SYSTEM>    LockWindowUpdate;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    MapWindowPoints;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    MessageBeep;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    MessageBoxA;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    MessageBoxW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    ModifyMenuW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    MoveFileExW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinBase.h
<SYSTEM>    MoveFileW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinBase.h
<SYSTEM>    MoveToEx;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    MoveWindow;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    MulDiv;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinBase.h
<SYSTEM>    OffsetWindowOrgEx;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    OleSaveToStream;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\Ole2.h
<SYSTEM>    OpenClipboard;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    OutputDebugStringA;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\debugapi.h
<SYSTEM>    OutputDebugStringW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\debugapi.h
<SYSTEM>    PatBlt;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    PeekMessageW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    PostMessageW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    PostQuitMessage;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    PostThreadMessageW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    PrintDlgW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\commdlg.h
<SYSTEM>    PtInRect;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    QueueUserAPC;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\processthreadsapi.h
<SYSTEM>    RaiseException;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\errhandlingapi.h
<SYSTEM>    ReadClassStm;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\Ole2.h
<SYSTEM>    ReadDirectoryChangesW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinBase.h
<SYSTEM>    Rectangle;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    RedrawWindow;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    RegCreateKeyExW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winreg.h
<SYSTEM>    RegDeleteKeyW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winreg.h
<SYSTEM>    RegDeleteValueW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winreg.h
<SYSTEM>    RegEnumKeyExW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winreg.h
<SYSTEM>    RegFlushKey;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winreg.h
<SYSTEM>    RegGetKeySecurity;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winreg.h
<SYSTEM>    RegNotifyChangeKeyValue;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winreg.h
<SYSTEM>    RegQueryInfoKeyW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winreg.h
<SYSTEM>    RegSetKeySecurity;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winreg.h
<SYSTEM>    RegSetValueExW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winreg.h
<SYSTEM>    RegisterClassExW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    RegisterClassW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    RegisterClipboardFormatW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    RegisterWindowMessageW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    ReleaseCapture;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    ReleaseSemaphore;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\synchapi.h
<SYSTEM>    RemoveMenu;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    RemovePropW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    ResetEvent;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\synchapi.h
<SYSTEM>    RestoreDC;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    SHCreateDirectory;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\ShlObj.h
<SYSTEM>    SHFileOperationW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\shellapi.h
<SYSTEM>    SHGetFolderPathW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\ShlObj.h
<SYSTEM>    SHGetMalloc;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\ShlObj.h
<SYSTEM>    SHGetPathFromIDListW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\ShlObj.h
<SYSTEM>    SafeArrayCopy;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\OleAuto.h
<SYSTEM>    SafeArrayGetVartype;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\OleAuto.h
<SYSTEM>    SaveDC;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    ScreenToClient;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    ScrollWindow;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SendDlgItemMessageW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SendMessageW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetBkColor;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    SetBkMode;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    SetBrushOrgEx;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    SetCapture;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetCaretPos;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetClipboardViewer;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetCursor;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetDlgItemInt;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetDlgItemTextA;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetDlgItemTextW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetEvent;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\synchapi.h
<SYSTEM>    SetFileAttributesW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\fileapi.h
<SYSTEM>    SetFocus;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
